Div;Date;Time;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;H_xG;A_xG;Affluence;xDiff;xRes
F1;05/08/2022;20:00:00;Lyon;Ajaccio;2;1;H;2;1;H;11;8;6;4;10;18;4;3;1;6;1;1;1,33;5,25;8,5;1,3;1,5;48,516;-0,2;D
F1;06/08/2022;16:00:00;Strasbourg;Monaco;1;2;A;0;1;A;11;24;7;11;18;15;3;7;0;2;0;0;2,62;3,25;2,75;0,8;2,8;25,359;-2;A
F1;06/08/2022;20:00:00;Clermont Foot;Paris S-G;0;5;A;0;3;A;7;18;1;12;13;13;0;6;2;1;0;0;9,5;6,5;1,25;0,3;3,5;12,203;-3,2;A
F1;07/08/2022;12:00:00;Toulouse;Nice;1;1;D;1;0;H;6;11;4;4;10;8;6;3;1;2;0;0;2,87;3,3;2,5;0,9;1,2;20,567;-0,3;D
F1;07/08/2022;14:00:00;Angers;Nantes;0;0;D;0;0;D;16;14;6;4;15;13;3;6;3;3;0;0;2,7;3,25;2,7;2,5;1,2;37,015;1,3;H
F1;07/08/2022;14:00:00;Lens;Brest;3;2;H;1;0;H;17;6;7;4;16;14;6;3;2;4;0;0;1,57;4,33;5,25;1,5;1,5;12;0;D
F1;07/08/2022;14:00:00;Lille;Auxerre;4;1;H;3;0;H;16;10;7;2;10;9;7;2;2;1;0;0;1,7;4;4,5;2,4;0,6;32,292;1,8;H
F1;07/08/2022;14:00:00;Montpellier;Troyes;3;2;H;2;2;D;17;15;6;10;13;10;3;6;1;0;0;0;2,2;3,5;3,3;1,7;2;12,003;-0,3;D
F1;07/08/2022;16:05:00;Rennes;Lorient;0;1;A;0;0;D;21;8;6;2;11;5;7;2;3;1;0;0;1,36;5,25;8,5;1,8;1,1;28,177;0,7;D
F1;07/08/2022;19:45:00;Marseille;Reims;4;1;H;2;0;H;16;16;6;6;14;10;6;7;2;0;0;0;1,57;4,2;5,5;2,1;0,9;62,738;1,2;H
F1;12/08/2022;20:00:00;Nantes;Lille;1;1;D;1;0;H;10;16;1;5;14;10;5;11;1;4;0;0;3;3,4;2,4;1;2;30,689;-1;A
F1;13/08/2022;16:00:00;Monaco;Rennes;1;1;D;0;0;D;12;24;4;8;6;11;1;6;0;3;1;0;2,15;3,5;3,25;1,8;2,1;8;-0,3;D
F1;13/08/2022;20:00:00;Paris S-G;Montpellier;5;2;H;2;0;H;20;7;10;4;15;18;11;0;2;1;0;0;1,08;12;21;3,2;0,9;46;2,3;H
F1;14/08/2022;14:00:00;Ajaccio;Lens;0;0;D;0;0;D;9;12;2;3;16;18;1;3;5;2;0;0;3,2;3,25;2,3;0,5;1,4;9,07;-0,9;D
F1;14/08/2022;14:00:00;Auxerre;Angers;2;2;D;2;1;H;11;11;4;2;10;16;4;5;5;3;1;0;2,2;3,25;3,5;2,7;1,9;9,456;0,8;D
